A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1398.6,-1714.05,566.64,1.9153516292572021
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1369.56,-1586.28,551.7,1.9177186489105225
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1364.87,-1721.17,556.59,1.9199388027191162
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1450.67,-1963.86,623.43,1.9215466976165771
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1386.47,-1967.46,584.78,1.9230821132659912
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1554.32,-1783.57,697.95,1.9247148036956787
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1283.83,-2027.63,522.74,1.925119161605835
1650.0,880.0,1220.0,950.0,2710.0,482.0,1500.62,1981.0,536.25,1.8097217082977295
1650.0,880.0,1220.0,950.0,2710.0,482.0,1327.98,1899.14,500.76,1.8381173610687256
1650.0,880.0,1220.0,950.0,2710.0,482.0,1437.15,1437.41,622.07,1.8527896404266357
1650.0,880.0,1220.0,950.0,2710.0,482.0,1483.75,1796.83,652.17,1.854766607284546
1650.0,880.0,1220.0,950.0,2710.0,482.0,1410.08,1549.31,611.28,1.8562581539154053
1650.0,880.0,1220.0,950.0,2710.0,482.0,1410.14,2238.94,604.41,1.858025312423706
1650.0,880.0,1220.0,950.0,2710.0,482.0,1445.78,1496.28,641.09,1.8581044673919678
1650.0,880.0,1220.0,950.0,2710.0,482.0,1384.58,1613.88,598.77,1.8582313060760498
1650.0,880.0,1220.0,950.0,2710.0,482.0,1299.64,1949.46,539.99,1.8599374294281006
1650.0,880.0,1220.0,950.0,2710.0,482.0,1395.0,1495.65,613.88,1.8607299327850342
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1426.76,-1527.39,497.29,1.8346688747406006
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1557.24,-2240.84,644.28,1.85148024559021
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1417.21,-1940.78,545.76,1.8515756130218506
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1486.68,-1947.15,609.93,1.8582093715667725
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1420.92,-1317.74,558.35,1.8593385219573975
