A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Time
1650.0,880.0,1220.0,187.5,2647.5,482.0,1388.59,1826.13,694.26,2.796
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1442.35,-1811.28,733.76,2.648
1650.0,880.0,1220.0,425.0,2647.5,482.0,1333.09,1854.12,652.36,2.648
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1554.17,-1684.66,745.23,2.588
1650.0,880.0,1220.0,662.5,2647.5,482.0,1316.24,1303.73,613.58,2.42
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1430.72,-1547.42,605.29,2.396
1650.0,880.0,1220.0,950.0,2710.0,482.0,1500.62,1981.0,636.25,2.504
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1426.76,-1527.39,597.29,2.268
1650.0,880.0,1220.0,250.0,2360.0,482.0,1429.46,1831.19,685.08,2.756
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1193.76,-1640.84,666.41,2.604
1650.0,880.0,1220.0,600.0,2360.0,482.0,1338.06,1279.19,679.52,2.456
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1311.82,-1540.64,608.8,2.488
1650.0,880.0,1220.0,950.0,2478.5,482.0,1445.16,1471.45,587.26,2.452
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1451.69,-1731.58,656.18,2.404
1650.0,880.0,1220.0,187.5,2072.5,482.0,1229.57,1548.51,643.92,2.6
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1232.99,-1412.01,584.84,2.584
1650.0,880.0,1220.0,425.0,2072.5,482.0,1323.74,1468.32,593.56,2.528
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1325.22,-1243.5,608.01,2.456
1650.0,880.0,1220.0,662.5,2072.5,482.0,1325.4,1675.96,669.53,2.428
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1519.75,-1327.44,645.65,2.4
1650.0,880.0,1220.0,950.0,2241.5,482.0,1602.03,1921.52,726.64,2.512
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1325.53,-1926.35,834.82,2.664
1650.0,880.0,1220.0,950.0,2010.0,482.0,1501.83,1226.86,705.73,2.352
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1459.52,-1710.27,884.31,2.532
1650.0,880.0,1220.0,250.0,2710.0,702.0,1333.39,1737.64,901.09,2.592
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1486.76,-2084.93,855.41,2.46
