,A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,time
0,1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1161.75,-1899.14,956.25,2.304
1,1650.0,880.0,1220.0,187.5,2647.5,482.0,686.5,1688.79,1029.12,2.592
