,A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,time
0,1650.0,880.0,1220.0,187.5,2647.5,482.0,900.0,-1700.0,800.27,0.0
1,1650.0,880.0,1220.0,187.5,2647.5,482.0,1650.0,880.0,1220.0,2.528
2,1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1670.0,-880.0,1205.0,2.428
3,1650.0,880.0,1220.0,425.0,2647.5,482.0,1650.0,880.0,1220.0,2.444
4,1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1650.0,880.0,1220.0,2.444
5,1650.0,880.0,1220.0,662.5,2647.5,482.0,1670.0,-880.0,1205.0,2.372
6,1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1650.0,880.0,1220.0,2.388
7,1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1670.0,-880.0,1205.0,2.292
8,1650.0,880.0,1220.0,950.0,2710.0,482.0,1650.0,880.0,1220.0,2.28
9,1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1670.0,-880.0,1205.0,2.216
10,1650.0,880.0,1220.0,250.0,2360.0,482.0,1650.0,880.0,1220.0,2.216
11,1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1650.0,880.0,1220.0,2.424
12,1650.0,880.0,1220.0,600.0,2360.0,482.0,1670.0,-880.0,1205.0,2.528
13,1650.0,880.0,1220.0,600.0,2360.0,482.0,1650.0,880.0,1220.0,2.32
14,1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1670.0,-880.0,1205.0,2.428
15,1650.0,880.0,1220.0,950.0,2478.5,482.0,1650.0,880.0,1220.0,2.268
16,1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1670.0,-880.0,1205.0,2.268
17,1650.0,880.0,1220.0,187.5,2072.5,482.0,1670.0,-880.0,1205.0,2.352
18,1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1650.0,880.0,1220.0,2.376
19,1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1670.0,-880.0,1205.0,2.468
20,1650.0,880.0,1220.0,425.0,2072.5,482.0,1650.0,880.0,1220.0,2.3
21,1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1670.0,-880.0,1205.0,2.36
22,1650.0,880.0,1220.0,662.5,2072.5,482.0,1670.0,-880.0,1205.0,2.36
23,1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1650.0,880.0,1220.0,2.232
24,1650.0,880.0,1220.0,950.0,2241.5,482.0,1670.0,-880.0,1205.0,2.3
25,1650.0,880.0,1220.0,950.0,2241.5,482.0,1650.0,880.0,1220.0,2.2
26,1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1670.0,-880.0,1205.0,2.58
27,1650.0,880.0,1220.0,950.0,2010.0,482.0,1650.0,880.0,1220.0,2.58
28,1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1650.0,880.0,1220.0,2.108
29,1650.0,880.0,1220.0,250.0,2710.0,702.0,1670.0,-880.0,1205.0,2.48
30,1650.0,880.0,1220.0,250.0,2710.0,702.0,1650.0,880.0,1220.0,2.416
31,1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1670.0,-880.0,1205.0,2.416
32,1650.0,880.0,1220.0,537.5,2647.5,702.0,1650.0,880.0,1220.0,2.344
33,1670.0,-880.0,1205.0,210.0,-2435.0,672.0,1670.0,-880.0,1205.0,2.344
34,1650.0,880.0,1220.0,775.0,2647.5,702.0,1670.0,-880.0,1205.0,2.5
35,1670.0,-880.0,1205.0,600.0,-2435.0,672.0,1650.0,880.0,1220.0,2.288
36,1670.0,-880.0,1205.0,600.0,-2435.0,672.0,1670.0,-880.0,1205.0,2.4
37,1650.0,880.0,1220.0,1012.5,2647.5,702.0,1650.0,880.0,1220.0,2.224
38,1670.0,-880.0,1205.0,990.0,-2435.0,672.0,1670.0,-880.0,1205.0,2.352
39,1650.0,880.0,1220.0,250.0,2478.5,702.0,1670.0,-880.0,1205.0,2.352
40,1670.0,-880.0,1205.0,135.0,-2120.0,672.0,1650.0,880.0,1220.0,2.384
41,1650.0,880.0,1220.0,600.0,2360.0,702.0,1670.0,-880.0,1205.0,2.316
42,1650.0,880.0,1220.0,600.0,2360.0,702.0,1650.0,880.0,1220.0,2.244
43,1670.0,-880.0,1205.0,375.0,-2120.0,672.0,1670.0,-880.0,1205.0,2.204
44,1650.0,880.0,1220.0,950.0,2360.0,702.0,1650.0,880.0,1220.0,2.188
45,1670.0,-880.0,1205.0,825.0,-2120.0,672.0,1670.0,-880.0,1205.0,2.072
46,1650.0,880.0,1220.0,250.0,2241.5,702.0,1650.0,880.0,1220.0,2.072
47,1670.0,-880.0,1205.0,1065.0,-2120.0,672.0,1650.0,880.0,1220.0,2.328
48,1650.0,880.0,1220.0,250.0,2010.0,702.0,1670.0,-880.0,1205.0,1.988
49,1670.0,-880.0,1205.0,135.0,-2600.0,877.0,1650.0,880.0,1220.0,2.3
50,1670.0,-880.0,1205.0,135.0,-2600.0,877.0,1670.0,-880.0,1205.0,2.344
51,1650.0,880.0,1220.0,537.5,2072.5,702.0,1650.0,880.0,1220.0,2.196
52,1670.0,-880.0,1205.0,375.0,-2600.0,877.0,1670.0,-880.0,1205.0,2.308
53,1650.0,880.0,1220.0,775.0,2072.5,702.0,1650.0,880.0,1220.0,2.128
54,1670.0,-880.0,1205.0,825.0,-2600.0,877.0,1650.0,880.0,1220.0,2.128
55,1650.0,880.0,1220.0,1012.5,2072.5,702.0,1670.0,-880.0,1205.0,2.16
56,1670.0,-880.0,1205.0,1065.0,-2600.0,877.0,1650.0,880.0,1220.0,2.056
57,1650.0,880.0,1220.0,187.5,2647.5,922.0,1670.0,-880.0,1205.0,2.132
58,1650.0,880.0,1220.0,187.5,2647.5,922.0,1650.0,880.0,1220.0,2.392
59,1670.0,-880.0,1205.0,210.0,-2285.0,877.0,1670.0,-880.0,1205.0,2.444
60,1650.0,880.0,1220.0,425.0,2647.5,922.0,1650.0,880.0,1220.0,2.444
61,1670.0,-880.0,1205.0,600.0,-2285.0,877.0,1650.0,880.0,1220.0,2.308
62,1650.0,880.0,1220.0,662.5,2647.5,922.0,1670.0,-880.0,1205.0,2.34
